"Organization Name", "Address", "Phone", "Fax", "Email", "Website", "Contact", "Age Groups", "Languages Spoken", "Fees", "Service Hours", "Services Provided"
"Bayview Hunter's Point Foundation", "150 Executive Park Boulevard, Suite 2800, San Francisco, CA 94134",  "(415) 468-5100","(415) 468-5104","admin.admin@bayviewci.org, lillian.shine@bayviewci.org","www.bayviewci.org","Lillian Shine, Deputy Director","All ages","English","Call for information","Call for information","The BVHP Foundation addresses the needs of communities where essential social services such as legal assistance, drug rehabilitation, and mental healthcare are unavailable. Also included are youth services, violence prevention and intervention, and HIV/AIDS support services. Outpatient Mental Health Family Center: 5815 Third Street, SF, CA 94124; (415) 822-7500, mental.health@bayviewci.org Outpatient Mental Health Services Adult/Child/Families Community Based Case Management Services School-Based Mental Health Service: Balboa Teen Health Center 1000 Cayuga Avenue, San Francisco, CA 94112; (415) 469-4512 Mental Health Program for Balboa HS Students: Anchor Program 1701 Ocean Avenue, San Francisco, CA 94112; (415) 452-2202 Mental Health Services for Individuals with Developmental Disabilities: Family Mosaic Project 1309 Evans Street, San Francisco, CA 94124; (415) 206-7600 Mental Health Services for Children and Youth: Bayview Hunter Point Substance Abuse Services 1625 Carroll Avenue, SF, CA 94124 (415) 822-8200, substance.abuse@bayviewci.org"
"Bayview Hunter's Point Health and Environmental Resource Center", "828 Innes Avenue, Suite 110, San Francisco, CA 94124",  "(415) 401-6810, TTY: (415) 641-1635","(415) 401-6812","","www.bayviewherc.org","","All","Cantonese, Mandarin, English","None","Resource Center: Monday - Friday, 8:00am - 6:00pm","HERC community programs are centered around two major health problems, asthma and women-specific cancer. Their programs are tailored for all ages, those who have health problems, as well as family, friends, and interested volunteers. Clinic Location: 2 Cameron Way, San Francisco, CA 94124 Hours: Monday - Friday, 8:00am - 5:00pm"
"Bayview Hunter's Point Multipurpose Senior Centers, Inc.", "1706 Yosemite Avenue, San Francisco, CA 94124",  "(415) 822-1444","(415) 822-5327","bhpmss1@aol.com","http://www.bhpmss.org","","Seniors, 59 and up","English, Chinese, Hindi, Tagalog","None","Monday - Friday, 8:00am - 5:00pm","Bayview Hunter's Point Multipurpose Senior Services, Inc. is deeply connected to and committed to the seniors of the Bayview Hunter's Point community. BHPMSS, Inc. is strongly committed to securing the rights and dignity of all elders and their families, and to respecting and empowering seniors to enhance their quality of life. Programs and services include adult day health classes, money management classes, case management, senior centers, senior empowerment, nutrition programs, a senior ex-offender program, and aging campus housing. Locations: Bayview Hunters Point Adult Day Health Center, 1250 LaSalle, (415) 826-4774; Bayview Senior Connections, 5600A Third St., (415) 647-5353; Dr. George W. Davis Sr. Center, 1706 Yosemite St., (415) 822-1444; Western Addition Senior Center, 1309 1/2 Turk St., (415) 921-7805."
"Bayview Mobilization for Adolescent Growth in Our Communities", "555 7th Street, Suite 201, San Francisco, CA 94103",  "(415) 558-2428","(415) 553-9646","community@bayviewmagic.org","www.bayviewmagic.com","Lyslynn Lacoste, Director","Children, Youth, and Families","English, Spanish","None","Monday - Friday, 9:00am - 5:00pm","Bayview Mobilization for Adolescent Growth in Our Communities (B- MAGIC) is a neighborhood-based program for mobilizing community leaders, service providers, schools, juvenile justice agencies, church communities, and families in Bayview-Hunters Point. B-MAGIC coordinates and improves youth services by providing early intervention that reduces juvenile crime, strengthens families and keeps children in school. Activities include an annual back-to-school event, annual book and technology fair, and a technology internship program for youth."
"Because Justice Matters", "357 Ellis Street, San Francisco, CA 94102",  "(415) 886-6543","(415) 885-6585","Info@becausejusticematters.org","www.becausejusticematters.org","Ruthie Kim","18 and older","English","None","Monday - Friday, 9:00am - 5:00pm","Because Justice Matters works to end injustice by taking a stand against modern-day slavery, domestic violence, discrimination against immigrants and economic inequality. Because Justice Matter's goal is to educate, network and work towards ending various forms of injustice. Services include a resource and support drop-in center for women who are victims of sexual exploitation, and a weekly food pantry in the Tenderloin, on the 300 block of Ellis Street. They also offer The Summer ESL Academy, a five-week course in conversational ESL for immigrants."
"Benefits.gov", "",  "","","","benefits.gov","","All","","None","","Benefits.gov is a website for individuals to learn about which government benefits they may be eligible to receive."
"Bernal Heights Neighborhood Center (BHNC)", "515 Cortland Avenue, San Francisco, CA 94110",  "Number: (415) 334-9919","(415) 648-0793","info@bhnc.org","www.bhnc.org","Rachel Edora, Executive Director, x152","Affordable housing developments- All Ages; Direct Services- 12 years and older","English, Spanish, Cantonese, Mandarin, Tagalog","Sliding scale","Monday ­ Friday, 9:00am - 5:00pm; Senior Services: Monday - Friday, 9:00am - 2:00pm, and by special appointment","Bernal Heights Neighborhood Center (BHNC) focuses on the needs of people with low- and moderate- incomes. BHNC services include developing affordable housing throughout San Francisco; providing linguistic and culturally responsive services to the community's most vulnerable adults, seniors, youth, and families; developing community leaders; and organizing and empowering tenants, clients, members, and allies to advocate for their needs and for the needs of the community. Additional Office: 4468 Mission Street San Francisco, CA 94112"
"Big Brothers Big Sisters of the Bay Area", "731 Market Street, 6th Floor, San Francisco, CA 94103",  "(415) 503-4050, Enrollment Information: (415) 586-0150","(415) 586-0155","info@bbbsba.org","www.bbbsba.org","Dolores Santa Cruz","6 ­ 14 years old","English & Spanish","None","Monday ­ Friday, 9:00am - 5:00pm","Big Brothers Big Sisters of the Bay Area offers one-on-one mentoring for young people between the ages of 6-14 years old who live in the Bay Area, including Alameda, Contra Costa, San Mateo, San Francisco, Santa Clara counties. Community-based mentoring: Mentors and mentees have fun while exploring the available recreational activities in the Bay Area."
"Black Coalition On AIDS", "2800 Third Street, San Francisco, CA 94107",  "(415) 615-9945, TTY: (415) 568- 2082","(415) 615-9943","bcoa@bcoa.org","www.bcoa.org","Perry Lang, Executive Director","All ages","English","None","Monday ­ Friday, 9:00am - 5:00pm","Black Coalition on AIDS (BCA) focuses on reducing disparities in the Black community, particularly the spread of HIV/AIDS. BCA provides health and wellness services including, but not limited to, housing, education, advocacy, health case management and other health- promoting activities. Programs include: Community Promise- moving people toward safe sex and risk reduction practices; Healthy Relationships- education and support group for persons living with HIV/AIDS; Living Now- helping men and women manage their medications and develop coping skills; Many Men Many Voices (3MV)-intervention program for gay black men; Safety Counts-for men and women using drugs in their sexual encounters and relationships. Other services include an AIDS drug assistance program, Black LGBT community-focused activities, case management, counseling, community outreach and health education, drop-in groups, complementary alternative medicine, and HIV and STD testing. The Rafiki Housing Program provides case management, comprehensive support services, and an 11-bed transitional housing program for homeless black men and women living with HIV/AIDS."
"Board of Supervisors, City and County of San Francisco", "1 Dr. Carlton B. Goodlett Place, Room 250 & Room 244, San",  "(415) 554-5184","(415) 554-5163","board.of.supervisors@sfgov.org","http://www.sfbos.org/","","All ages","English","None","Monday - Friday, 8:00am - 5:00pm","The Board of Supervisors & Clerk of the Board consists of several sub-committees which focus on issues such as school policy and anti- violence. More information on the Board activities, initiatives, and meetings can be found on their website."
