Agency Name,Program Name,Strategy,Lead Agency Address,Lead Agency District,Lead Agency Zip,Site Name,Site Address,Site Zip,Site Phone,Site District,Site Location,Site School,0-5,'6-13,14-17,Parent,18-21,22-25,18-24,English,Spanish,Mandarin,Cantonese,Korean,Vietnamese,Russian,Filipino (Tagalog),Language Other
San Francisco Education Fund,Bridge To Success,SFUSD Partnerships,"2730 Bryant Street, Second Floor",District 9,94110,n/a,n/a,94110,n/a,9,Other,,,,X,,,,,X,,,,,,,,
San Francisco Education Fund,Teachers and Principals Celebration Initiative,Miscellaneous,,Unassigned,,San Francisco Education Fund,"2730 Bryant Street, 2nd Floor",94110,415.695.5400,9,Non-profit's owned or leased space (not faith-based),,X,X,X,,,,,X,,,,,,,,
San Francisco Food Bank,DCYF Community Child Nutrition Snack Pilot,Citywide Health and Wellness,900 Pennsylvania Avenue,District 10,94107,San Francisco Food Bank,900 Pennsylvania Avenue,94107,(415) 282-1907,10,Non-profit's owned or leased space (not faith-based),,X,X,X,,,,,X,X,X,X,X,X,X,X,
San Francisco LGBT Community Center,TAY Services,Transitional Age Youth,1800 Market St,District 7,94102,San Francisco LGBT Community Center,1800 Market St,94102,415-865-5555,8,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,X,X,,,,arabic
San Francisco Mime Troupe,San Francisco Mime Troupe's Youth Theater Program,Specialized Teen,855 Treat Ave,District 9,94110,San Francisco Mime Troupe Building,855 Treat Avenue,94110,415-285-1717,9,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,X,X,,,,X,
San Francisco Police Activities League,SF PAL Western Addition Spring & Summer Conditioning,Specialized K-8,350 Amber Drive Room 203,District 8,94131,Kimbell Field,Geary Blvd & Stiener,94115,415-581-2542,5,Other,,,X,X,,,,,X,X,,,,,,,
San Francisco Recreation and Park Department,Workreation,Youth Workforce Development,501 Stanyan St,District 5,94117,McLaren Lodge,501 Stanyan St,94117,415-831-2785,5,SF Recreation and Park facility,,,X,X,,,,,X,X,X,X,,,,X,
San Francisco Students Back On Track,Back on Track Program,Specialized K-8,1399 McAllister,District 5,94115,Third Baptist Church,1399 McAllsiter,94115,4153464426,5,Faith-based organization's space,,,X,X,,,,,X,X,X,X,X,X,X,,
San Francisco Study Center,San Francisco Beacon Initiative,Miscellaneous,"1390 Market Street, Suite 900",District 6,94102,San Francisco Beacon Initiative,"1390 Market Street, Suite 900",94102,(415) 554-4848,6,Other,,X,X,X,X,,,,X,,,,,,,,
San Francisco Unified School District,Bridge To Success,SFUSD Partnerships,555 Franklin ST.,Unassigned,94102,Counseling and Post-Secondary Success,20 Cook St.,94118,415-750-4500,8,Other,,,X,X,X,,,,X,X,,X,,,,,
San Francisco Unified School District,Wellness Program--Independence High School,Health and Wellness,,Unassigned,,Independence High School Wellness Program,1350 7th Avenue,94122,,,,,,,,,,,,,,,,,,,,
San Francisco Unified School District,Wellness Satellite- Civic Center Secondary,Health and Wellness,,Unassigned,,Civic Center Wellness Program,727 Golden Gate Ave.,94102,,,Public School,Civic Center Secondary School (7-12),,,X,,,,,,,,,,,,,
San Francisco Unified School District,Wellness Satellite- Hilltop,Health and Wellness,,Unassigned,,Hilltop Wellness Program,1325 Florida St,94110,,,Public School,Hilltop Special Services Center (9-12),,,X,,,,,,,,,,,,,
San Francisco Unified School District,Wellness Satellite--Gateway to College,Health and Wellness,,Unassigned,,Gateway to College Wellness Program,"CCSF, Ocean Campus, 50 Phelan Avenue, Science Building #121",94112,,,Public School,,,,,,,,,,,,,,,,,
SaveNature.org,Nature Connection by SaveNature.Org,Specialized K-8_Assigned,699 Mississippi St. Suite 106,District 10,94107,SFUSD Early Education Department at Webster Elementary School,465 Missouri Street,94107,415-695-5787,9,Public School,"Webster, Daniel Early Education School (K-5)",,X,,,,,,X,X,,,,,,,
SaveNature.org,Nature Connection by SaveNature.Org,Specialized K-8_Assigned,699 Mississippi St. Suite 106,District 10,94107,Live Oak School,1555 Mariposa St,94107,(415) 861-8840,9,Parochial or Independent School,,,X,,,,,,X,X,X,,,,,,
Seven Tepees,Seven Tepees Learning Center After-school Program,Comprehensive K-8 Community-Based Afterschool,3177 17th Street,District 9,94110,Seven Tepees Learning Center,3177 17th Street,94110,415-522-1550,9,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,,X,,,,,
Seven Tepees,Seven Tepees Learning Center Summer Program,Comprehensive K-8 Summer Learning,3177 17th Street,District 9,94110,Seven Tepees Learning Center,3177 17th Street,94110,415-522-1550,9,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,,,,,,,
Society for Art Publications,Meridian Gallery Interns Program,Specialized Teen,535 Powell St,District 3,94108,Meridian Gallery,535 Powell St,94108,415-398-7229,3,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,X,,,,,
Spark,Spark San Francisco Apprenticeship Program,Specialized K-8_Assigned,"251 Rhode Island Street, Suite 205",District 10,94103,Theodore Roosevelt Middle School BEACON Program,460 Arguello Blvd,94118,(415) 750-8446,2,Public School,"Roosevelt, Theodore Middle School (6-8)",,X,,,,,,X,X,X,,,,,,
Special Service for Groups,Occupational Therapy Training Program Career Awareness at Civic Center Secondary School,Career Awareness,"425 Divisadero Street, Suite 300",District 5,94117,Civic Center Secondary,"727 Golden Gate Ave, San Francisco",94102,(415) 241-3000,5,Public School,Civic Center Secondary School (7-12),,,X,,,,,X,X,X,X,,,X,,
Special Service for Groups,Occupational Therapy Training Program Detention Based Services,Detention Based,"425 Divisadero Street, Suite 300",District 5,94117,San Francisco Juvenile Justice Center,375 Woodside Ave,94127,4157537800,7,,,,,X,,X,,,X,X,X,X,,,X,,
Special Service for Groups,Occupational Therapy Training Program Detention Based Services,Detention Based,"425 Divisadero Street, Suite 300",District 5,94117,Log Cabin Ranch,1 Log Cabin Ranch Road,94127,6507470985,7,,,,,X,,X,,,X,X,,X,,,X,,
Special Service for Groups,OTTP Secondary Prevention Program,Secondary Prevention,"425 Divisadero Street, Suite 301, San Francisco Ca 94556",District 5,94117,Francisco Middle School,2190 Powell Street,94133,415-291-7910,7,Public School,Francisco Middle School (6-8),,X,X,,,,,X,X,X,X,,,,,
Special Service for Groups,OTTP Secondary Prevention Program,Secondary Prevention,"425 Divisadero Street, Suite 301, San Francisco Ca 94556",District 5,94117,AP Giannini Middle School,3151 Ortega Street,94122,(415) 759-2770,2,Public School,"Giannini, A.P. Middle School (6-8)",,X,X,,,,,X,X,X,X,,,,,
Special Service for Groups,Youth Workforce Development Justice Involved Coordinator,Youth Workforce Development_JJSI,"425 Divisadero Street, Suite 300",District 5,94117,Juvenile Justice Center,375 Woodside Avenue,94127,415-753-7777,7,Other,,,,X,,X,,,X,X,,,,,,,
Special Service for Groups,Youth Workforce Development Justice Involved Coordinator,Youth Workforce Development_JJSI,"425 Divisadero Street, Suite 300",District 5,94117,Adult Probation,850 Bryant Street,94103,415-553-1706,6,Other,,,,,,X,,X,X,X,,,,,,,
Streetside Stories,Stories in Communities,Specialized K-8,3130 20th St,District 9,94110,"Mission Housing, Valencia Gardens",15th St between Valencia and Guerrero,94103,94103,9,Public or affordable housing site,,X,X,X,,,,,X,X,X,X,,,,,
Streetside Stories,"Stories, Skills, and Schools",Specialized K-8_Assigned,3130 20th St,District 9,94110,Sanchez Elementary School,325 Sanchez Street,94114,(415) 241-6380,9,Public School,Sanchez Elementary School (K-5),X,X,X,,,,,X,X,X,,,,,,
Streetside Stories,"Stories, Skills, and Schools",Specialized K-8_Assigned,3130 20th St,District 9,94110,Sunnyside Elementary School,250 Foerster Street,94112,(415) 469-4746,8,Public School,Sunnyside Elementary School (K-5),X,X,,,,,,X,X,X,X,,,,X,
Streetside Stories,"Stories, Skills, and Schools",Specialized K-8_Assigned,3130 20th St,District 9,94110,John Muir Preschool,380 Webster St,94117,415-431-6339,9,Public School,"Muir, John Elementary School (K-5)",X,X,,,,,,X,X,,,,,,,
Streetside Stories,"Stories, Skills, and Schools",Specialized K-8_Assigned,3130 20th St,District 9,94110,Junipero Serra Preschool,155 Appleton Ave,94110,415-920-5138,9,Public School,"Serra, Junipero Early Education School (K-5)",X,X,,,,,,X,X,,,,,,,
Streetside Stories,"Stories, Skills, and Schools",Specialized K-8_Assigned,3130 20th St,District 9,94110,Excelsior Guadalupe Early Education School,859 Prauge St,94112,415-469-4753,11,Public School,Excelsior Guadalupe Early Education School (K-5),X,X,,,,,,X,X,X,,,,,,
Success Center SF,Arts Training Program,Youth Workforce Development,"375 Woodside Ave, Building W2",District 7,94127,Success Center SF,"375 Woodside Avenue, Building W2",94127,4157537690,7,Other,,,,X,,X,,,X,X,,,,,,,
Success Center SF,CalGRIP GED Services,Alternative Education,375 Woodside Avenue,Unassigned,94127,CalGRIP GED+ Life Sills Program,"375 Woodside Ave., W2",94127,4157537690,7,Other,,,,X,,X,,,X,X,,,,,,,
Success Center SF,Early Morning Study Academy-GED Attainment,Alternative Education,"375 Woodside Avenue, Building W2",District 7,94127,SuccessCenterSF,375 Woodside Ave Bldg # W-2,94127,415-753-7690,7,Other,,,,X,,X,,,X,X,,,,,,,"N/A -Given that SCSF is located on the Court Property, we have access to most languages through other service providers: JPD, Courts, DA, Public Defender, Health Department or SFUSD."
Success Center SF,Summer 2013 Arts Training Program,,,Unassigned,,,,,,,,,,,,,,,,,,,,,,,,
Sunset District Community Development,"Case Management, Enrichment and Referral Services for In-Risk Youth Aftercare/Re-entry",Aftercare/ Reentry,3918 Judah Street,District 4,94122,Sunset Youth Services,3918 Judah Street,94122,(415) 665-0255,4,Non-profit's owned or leased space (not faith-based),,,,X,,X,X,,X,X,X,,,,,X,Arabic
Sunset District Community Development,Digital Arts Program,Specialized Teen,3918 Judah Street,District 4,94122,Sunset Youth Services,3918 Judah Street,94122,415 655 0255,4,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,X,,,,,X,"Arabic, Fukien"
Sunset District Community Development,Upstar Media Labz,Youth Workforce Development,3918 Judah Street,District 4,94122,Sunset Youth Services,3918 Judah,94122,415-655-0255,4,Non-profit's owned or leased space (not faith-based),,,,X,X,X,,,X,X,X,,,,X,X,Arabic
Support for Families of Children with Disabilities,Inclusion Capacity Building,Systems Development,"1663 Mission Street, Suite 700",District 6,94103,SNIP,"1663 Mission Street, 7th Floor",94103,415-282-7494,6,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,,,,,,,,
Techbridge,STEM Training,STEM,"7700 Edgewater Dr., Suite 519",Unassigned,94621,,,,,,,,,,,,,,,X,,,,,,,,
Telegraph Hill Neighborhood Center,North Beach-Chinatown Beacon Center,Beacons,660 Lombard St.,District 3,94133,Francisco Middle School,2190 Powell Street,94133,415-398-5015,3,Public School,Francisco Middle School (6-8),,X,X,X,,,,X,X,X,X,,X,X,X,"Arabic, Toisanese"
Telegraph Hill Neighborhood Center,North Beach-Chinatown Beacon Center,Beacons,660 Lombard St.,District 3,94133,Specialized Teen Center @ North Beach Place,567 Bay Street,94133,(415) 440-4837,3,Public or affordable housing site,,,X,X,X,,,,X,X,,X,,,X,X,Arabic
Telegraph Hill Neighborhood Center,North Beach-Chinatown Beacon Center,Beacons,660 Lombard St.,District 3,94133,Telegraph Hill Neighborhood Center,660 Lombard Street,94133,415-421-6443,3,Non-profit's owned or leased space (not faith-based),,X,X,X,X,,,,X,X,,X,,,,,
Telegraph Hill Neighborhood Center,North Beach-Chinatown Beacon Center,Beacons,660 Lombard St.,District 3,94133,Galileo High School,1150 Francisco St.,94109,(415) 749-343,2,Public School,Galileo High School (9-12),,,X,,,,,X,X,X,X,X,X,X,X,Arabic
Telegraph Hill Neighborhood Center,Tel-Hi's After School Academy (ASA),Comprehensive K-8 Community-Based Afterschool,660 Lombard St.,District 3,94133,Telegraph Hill Neighborhood Center,660 Lombard Street,94133,415-421-6443,3,Non-profit's owned or leased space (not faith-based),,X,X,,,,,,X,X,X,X,X,,,X,
Telegraph Hill Neighborhood Center,Tel-Hi's Specialized Teen Learner's Pathway (TLP),Specialized Teen,660 Lombard Street,District 3,94133,Galileo High School,1150 Francisco,94109,415-749-3430,2,Public School,Galileo High School (9-12),,,X,,,,,X,X,X,X,X,X,X,X,"Arabic, Toisanese"
Telegraph Hill Neighborhood Center,Tel-Hi's Summer Learning Program (SLP),Comprehensive K-8 Summer Learning,660 Lombard Street,District 3,94133,Telegraph Hill Neighborhood Center,660 Lombard Street,94133,415-421-6443,3,Non-profit's owned or leased space (not faith-based),,X,X,,,,,,X,X,X,X,X,,,X,
Temple United Methodist Church,Temple Tutorial Program (TTP),Comprehensive K-8 Community-Based Afterschool,65 Beverly Street,District 11,94112,Temple Tutorial Program,65 Beverly Street,94132,468-14444,11,Faith-based organization's space,,,X,,,,,,X,,,,,,,,
Tenderloin Neighborhood Development Corporation,Tenderloin After School Program (TASP) - Summer Program,Comprehensive K-8 Summer Learning,201 Eddy Street,District 6,94102,Tenderloin After-School Program (TASP),225 Eddy Street,94102,415/776-8407,6,Non-profit's owned or leased space (not faith-based),,X,X,X,X,,,,X,X,,,,,,X,
Tenderloin Neighborhood Development Corporation,Tenderloin After School Program (TASP) - Year Round After School,Comprehensive K-8 Community-Based Afterschool,201 Eddy Street,District 6,94102,Tenderloin After-School Program,225 Eddy Street,94102,415/776-8407,6,Non-profit's owned or leased space (not faith-based),,X,X,X,,,,,X,X,,,,,,X,
The Marsh,Marsh Youth Theater Artists in the Schools Program,Specialized K-8_Assigned,1062 Valencia Street,District 8,94110,Las Americas Children's Center EEC,801 Treat Avenue,94110,(415) 695-5746,9,Public School,Las Americas Early Education School (K-5),,X,,,,,,X,X,X,X,,,,,
The Marsh,Marsh Youth Theater Artists in the Schools Program,Specialized K-8_Assigned,1062 Valencia Street,District 8,94110,Marsh Youth Theater,1062 Valencia Street,94110,415-826+5750 x3,8,Non-profit's owned or leased space (not faith-based),,X,X,X,,,,,X,X,,,,,,,
The Marsh,Marsh Youth Theater Artists in the Schools Program,Specialized K-8_Assigned,1062 Valencia Street,District 8,94110,Leonard Flynn EEC,3125 Cesar Chavez St,94110,(415) 695-5770,9,Public School,"Flynn, Leonard Early Education School (K-5)",X,X,,,,,,X,X,,,,,,,
Tides Center,Community Grows,Specialized K-8_Assigned,762 Fulton St,District 5,94102-4119,YMCA - Buchanan -SP EXCEL @ Rosa Parks Elementary School,1501 O'Farrell St.,94115,(415) 749-3519,5,Public School,"Parks, Rosa Elementary School (K-5)",,X,,,,,,X,X,X,X,X,X,,X,Japanese
Tides Center,First Exposures,Specialized Teen,P.O. Box 29907,District 2,94129-0907,Rayko Photo Center,428 Third Street,94107,4153746657,6,Other,,,X,X,,,,,X,X,,,,,,,
Tides Center,Oasis for Girls - ENVISION,Career Awareness,1091 Mission Street,District 6,94103,Oasis For Girls,1091 Mission Street,94103,415.701.7991,6,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,,,,,,Palauan
Tides Center,Oasis for Girls - RISE,Specialized Teen,1091 Mission Street,District 6,94013,Oasis For Girls,1091 Mission Street,94103,415.701.7991,6,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,,,,,,Palauan
Tides Center,Out of Site Youth Arts Center,Specialized Teen,755 Ocean Avenue,District 11,94112,Out of Site Youth Arts Center,755 Ocean Avenue,94112,(415) 574-8137,11,Other,,,,X,,,,,X,X,X,X,X,X,,X,
Treasure Island Sailing Center,Youth Sailing Program-Summer Camp at Treasure Island Sailing Center,Specialized K-8,"698 California Avenue, Bldg. #112",District 6,94130,Treasure Island Sailing Center,698 California Avenue,94130,415-421-2225,6,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,,,,,,,,
Tree Frog Treks,Tree Frog Treks,Specialized K-8_Assigned,2112 Hayes Street,District 5,94117,Oakes Children's Center,1550 Treat Ave,94110,4156418000,9,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,,,,,,,,
UCSF,Wraparound Project,Diversion,"SFGH, 1001 Potrero Avenue, Ward 3A",District 10,94110,San Francisco General Hospital,"1001 Potrero Avenue, San Francisco, CA",94110,415-206-4623,9,Other,,,X,X,,X,X,,X,X,,,,,,,
United Playaz,Case Management,Secondary Prevention,1038 Howard Street,District 6,94102,UP Clubhouse,1038 Howard Street,94103,888-975-2929,6,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,X,,,,,,X,"Tongan, Samoan"
United Playaz,Case Management - Aftercare/Aftercare/ Reentry,Aftercare/ Reentry,1038 Howard Street,District 6,94103,UP Clubhouse,1038 Howard Street,94103,888-975-2929,6,Non-profit's owned or leased space (not faith-based),,,,X,,X,X,,X,X,,,,,,X,"Tongan, Samoan"
United Playaz,Community-based Summer Program,Comprehensive K-8 Summer Learning,1038 Howard Street,District 6,94103,UP Clubhouse,1038 Howard Street,94103,888-975-2929,6,Non-profit's owned or leased space (not faith-based),,,X,X,X,,,,X,X,,,,,,X,"Samoan, Tongan"
United Playaz,K-8 After School Program at United Playaz Clubhouse,Comprehensive K-8 Community-Based Afterschool,1038 Howard Street,District 6,94103,UP Clubhouse,1038 Howard Street,94103,888-975-2929,6,Non-profit's owned or leased space (not faith-based),,,X,X,X,,,,X,X,,,,,,X,"Samoan, Tongan"
United Playaz,OMI Violence Prevention CM,Diversion,1038 Howard Street,District 6,94103,United Playaz Clubhouse,1038 Howard Street,94103,888-0975-2929,6,Non-profit's owned or leased space (not faith-based),,,X,X,X,X,X,,X,X,,,,,,X,"Samoan, Tongan"
United Playaz,OMI Violence Prevention CM,Diversion,1038 Howard Street,District 6,94103,OMI Excelsior Beacon,241 Oneida Avenue Room 181,94112,415.406.1290,11,Public School,"Denman, James Middle School (6-8)",,X,X,X,X,X,,X,X,,,,,,X,"Samoan, Tongan"
United Playaz,OMI Violence Prevention CM,Diversion,1038 Howard Street,District 6,94103,Leadership High School,300 Seneca Street,94112,415-841-8910,11,Public School,"Denman, James Middle School (6-8)",,X,,,,,,X,X,,,,,,X,"Samoan, Tongan"
United Playaz,OMI Violence Prevention CM,Diversion,1038 Howard Street,District 6,94103,Balboa High School,1000 Cayuga,94112,415- 469-4090,11,Public School,Balboa High School (9-12),,,X,,,,,X,X,,,,,,X,"Samoan, Tongan"
United Playaz,OMI Violence Prevention CM,Diversion,1038 Howard Street,District 6,94103,Aptos Middle School,105 Aptos Ave.,94127,(415) 469-4520,4,Public School,Aptos Middle School (6-8),,X,,,,,,X,X,,,,,,X,"Samoan, Tongan"
United Playaz,OMI Violence Prevention CM,Diversion,1038 Howard Street,District 6,94103,Minnie & Lovie Ward Rec Center,650 Capitol Ave,94112,(415) 337-4710,11,SF Recreation and Park facility,,,,X,X,X,X,,X,X,,,,,,X,"Samoan, Tongan"
United Playaz,Specialized Specialized Teen Program,Specialized Teen,1038 Howard Street,District 6,94103,UP Clubhouse,1038 Howard Street,94103,888-975-2929,6,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,,,,,X,"Tongan, Samoan"
United Playaz,Specialized Specialized Teen Program,Specialized Teen,1038 Howard Street,District 6,94103,Balboa High School,1000 Cayuga,94112,415-469-4090,11,Public School,Balboa High School (9-12),,,X,,,,,X,X,,,,,,X,"Tongan, Samoan"
United Way of the Bay Area,SF Jobs+ and Summer Jobs+,Creating and Managing Private Sector Opportunities,"550 Kearny Street, Suite 1000",District 3,94108,MatchBridge / United Way of the Bay Area,"550 Kearny St., Suite 1000",94108,4158084313,3,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,,,,,,
Up On Top,Summer EXCEL @ Tenderloin Community School,EXCEL Match Summer,1187 Franklin St.,District 6,94109,Tenderloin Community School,627 Turk St.,94103,(415) 225-6558,6,Public School,Tenderloin Elementary School (K-5),,X,,,,,,X,X,,,X,X,,X,
Up On Top,SY EXCEL @ Tenderloin Community School,ExCEL Match School Year,627 Turk Street,District 6,94013,Up On Top? EXCEL at Tenderloin Community School,627 Turk St.,94103,415-225-6558,6,Public School,Tenderloin Elementary School (K-5),X,X,,,,,,X,X,,X,,X,,X,
Vietnamese Youth Development Center,Case Management Services,Secondary Prevention,166 Eddy Street,Unassigned,94102,Case Management Services,166 Eddy Street,94102,(415) 771-2600,6,Non-profit's owned or leased space (not faith-based),,,X,X,,X,X,,X,,,,,X,,,Cambodian
Vietnamese Youth Development Center,Empowering Southeast Asian Youth Program,Specialized Teen,166 Eddy Street,Unassigned,94102,VYDC,166 Eddy Street,94102,(415) 771-2600,6,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,X,,,,,Cambodian
West Bay Pilipino Multi Service,SoMA After School Academic Enrichment & Mentorship Program,Comprehensive K-8 Community-Based Afterschool,175 7th St,District 6,94103,West Bay Pilipino Multi-Service Center,175 7th St,94103,415-431-6266,6,Public or affordable housing site,,X,X,X,,,,,X,,,,,,,X,
Westside Community Mental Health Services,Ajani Community Case Management,Secondary Prevention,1140 Oak Street,District 5,94117,"Nathaniel H. Brooks Specialized Teen Clinic, Sr.",1140 Oak Street,94117,415-431-8252,5,Non-profit's owned or leased space (not faith-based),,,X,X,,X,,,X,,,,,,,,
Westside Community Mental Health Services,Ajani Community Case Management,Secondary Prevention,1140 Oak Street,District 5,94117,George Washington High School,600 32nd Avenue,94121,415-750-8400,1,Public School,"Washington, George High School (9-12)",,X,X,,,,,X,,,,,,,,
Westside Community Mental Health Services,Ajani Community Case Management,Secondary Prevention,1140 Oak Street,District 5,94117,Raul Wallenberg High School,40 Vega Street,94115,415-749-3469,5,Public School,"Wallenberg, Raoul High School (9-12)",,X,X,,,,,X,,,,,,,,
Westside Community Mental Health Services,Ajani Community Case Management,Secondary Prevention,1140 Oak Street,District 5,94117,Arriba Juntos,1850 Mission Street,94103,415-487-3240,9,Non-profit's owned or leased space (not faith-based),,,X,X,,X,X,,X,,,,,,,,
Westside Community Mental Health Services,Ajani Community Case Management,Secondary Prevention,1140 Oak Street,District 5,94117,Sunnydale Wellness Center,1652 Sunnydale Ave,94134,415-425-2626,10,Public or affordable housing site,,,,X,X,X,X,,X,,,,,,,,
Westside Community Mental Health Services,Ajani Community Case Management,Secondary Prevention,1140 Oak Street,District 5,94117,Meadows-Livingstone School,1499 Potrero Avenue,94110,415-695-7735,10,Parochial or Independent School,,,X,,,,,,X,,,,,,,,
YAFF,WASOMA Therapeutic Evening Reporting Center (WTE),Detention Alternatives,1025 Howard Street,District 6,94103,WASOMA ERC,2675 Folsom Street,94110,415-643-7117,9,Non-profit's owned or leased space (not faith-based),,,X,X,,,,,X,,,,,,,,
YMCA - Bayview Hunter's Point,Bayview Beacon,Beacons,1601 Lane Street,Unassigned,94124,Phillip Burton,400 Mansell Street,94134,4154694550,9,Public School,"Burton, Phillip and Sala High School (9-12)",,,X,,,,,X,X,X,X,X,X,X,,
YMCA - Bayview Hunter's Point,Center for Academic Re-Entry and Empowerment (CARE),Alternative Education,1601 Lane St,District 10,94124,Bayview Hunters Point YMCA,1601 Lane st,94124,415-822-5300 ext.231,10,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,,,,,,
YMCA - Bayview Hunter's Point,'Just Choizes',Specialized Teen,1601 Lane Street,District 10,94124,Choizes Specialized Teen Center,1601 Lane Street,94124,415-822-7728,10,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,X,,,,,,,
YMCA - Bayview Hunter's Point,Just for Girls and Fellas Middle School Clubs,Comprehensive K-8 Community-Based Afterschool,1601 Lane Street,District 10,94124,Fellas/Just 4 Girls,1601 Lane Street,94124,415-822-7728,11,Non-profit's owned or leased space (not faith-based),,,X,,,,,,X,X,,,,,,,
YMCA - Bayview Hunter's Point,Primed and Prepped,Specialized Teen,1601 Lane Street,District 10,94124,BVHP YMCA,1601 Lane,94124,415-822-7728,10,Non-profit's owned or leased space (not faith-based),,,,X,,,,,X,,,,,,,,
YMCA - Bayview Hunter's Point,School Site Mentoring â€“ MLK & ISA,Secondary Prevention,1601 Lane St,District 10,94124,ISA,"655 De Haro Street, San Francisco, CA,",94107,(415) 695-5866,10,Public School,International Studies Academy (6-12),,X,X,,,,,X,,,,,,,,
YMCA - Bayview Hunter's Point,School Site Mentoring â€“ MLK & ISA,Secondary Prevention,1601 Lane St,District 10,94124,MLK,"350 Girard Street, San Francisco, CA,",94134,(415) 330-1500,9,Public School,Independence High School (9-12),,X,X,,,,,X,,,,,,,,
YMCA - Bayview Hunter's Point,SY EXCEL @ Cobra Community/Bayview Beacon (MLK),ExCEL Match School Year,1601 Lane Street,District 10,94124,Cobra Community,350 Girard Street,94134,415-330-1500 *1018,9,Public School,"King, Dr. Martin Luther, Jr. Middle School (6-8)",,X,,,,,,X,X,X,X,,X,,X,
YMCA - Bayview Hunter's Point,SY EXCEL @ GW Carver Elementary School,ExCEL Match School Year,1601 Lane St,District 10,94124,Carver Afterschool,1360 Oakdale Ave,94124,415) 330-1540,9,Public School,"Carver, Dr. George Washington Elementary School (K-5)",X,X,,,,,,X,X,X,X,,,,X,
YMCA - Bayview Hunter's Point/TURF,Fiscal Sponsorship for TURF,Miscellaneous,1652 Sunnydale Ave,Unassigned,94134,Turf and BV YMCA,1601 lane st,94124,4158227728,10,SF Recreation and Park facility,,,X,X,X,,,,X,X,,X,,,,,
YMCA - Bayview Hunter's Point/TURF,SF Junior 49ers Pop Warner Football & Cheer Squad,Specialized K-8,1601 Lane St,District 10,94124,Crocker Amazon Park,500 Moscow Ave,94134,4158411740,10,SF Recreation and Park facility,,,X,X,,,,,X,,,,,,,,
YMCA - Bayview Hunter's Point/TURF,TURF Restorative Case Management and Enrichment,Secondary Prevention,1652 Sunnydale Avenue,District 10,94134,Willie Brown Youth Center,1652 Sunnydale Ave,94134,4158411740,10,Non-profit's owned or leased space (not faith-based),,,,X,,X,X,,X,,,,,,,,
YMCA - Bayview Hunter's Point/TURF,Willie Brown Youth Center,Comprehensive K-8 Community-Based Afterschool,1601 lane st,District 10,94124,Willie Brown Youth Center,1652 Sunnydale Ave,94134,4158411740,10,Public or affordable housing site,,,X,X,,,,,X,,,,,,,,
YMCA - Bayview Hunter's Point/Urban Ed Academy,UrbanEdAcademy Focus On Success,Specialized K-8,"1485 Bayshore, Suite 135",District 10,94124,El Dorado Elementary,70 Delta Street,94134,415-330-1537,10,Public School,El Dorado Elementary School (K-5),,X,,,,,,X,X,,,,,,,Tagalog
YMCA - Buchanan,Beacon,Beacons,1530 Buchanan Street,District 5,94115,Beacon Hub Site,380 Webster Street,94117,415-749-2714,5,Public School,"Muir, John Elementary School (K-5)",X,X,X,X,,,,X,X,,,,,,,
YMCA - Buchanan,Gateway Middle School After School Program,Comprehensive K-8 Before and Afterschool Scholarships,1512 Golden Gate Avenue,District 5,94115,Gateway Middle School,1512 Golden Gate Avenue,94115,415-922-1001,5,Public School,Gateway Middle School (6-8),,X,,,,,,X,X,X,X,,,X,X,Toishanese
YMCA - Buchanan,Margaret Hayward Playground Rec Connect,Comprehensive K-8 Community-Based Afterschool,1530 Buchanan St.,District 5,94115,Margaret Hayward Park/Rec Center,1016 Laguna St,94115,415-292-2018,5,SF Recreation and Park facility,,X,X,,,,,,X,X,,,,,,,
YMCA - Buchanan,New Traditions Before and Afterschool Program,Comprehensive K-8 Before and Afterschool Scholarships,1530 Buchanan Street,District 5,94115,New Traditions ES,2049 Grove Street,94117,415-750-8490,5,Public School,New Traditions Elementary School (K-5),X,X,,,,,,X,X,X,,,,,,
YMCA - Buchanan,Summer Camp at Margaret Hayward Playground - Rec Connect,Comprehensive K-8 Summer Learning,1530 Buchanan St.,District 5,94115,Margaret Hayward Playground,1016 Laguna Street,94115,415 292-2018,5,SF Recreation and Park facility,,X,X,,,,,,X,X,,,,,,,NA
